id_refinaria;id_municipio;nome_refinaria;latitude;longitude
01;3106705;Refinaria Gabriel Passos (REGAP);-19.9668;-44.2008
02;3536505;Refinaria de Paulínia (REPLAN);-22.7542;-47.1488
